,bill_id,num,congress,long_title,date_filed,scope,status,author,date_lastUpdate,passed,Full Name Primary Author,Party,Bloc,Years of Service,num_authors,delta_days,mon,quarter,scope_national,majority_bloc,len_desc
20,18SBN-1133,SBN-1133,18,"an act creating one regional heart center in each of the administrative regions in the philippines, providing funds therefor and for other purposes",11/4/19,National,Pending in the Committee,"Recto, Ralph G.",11/5/19,FALSE,Ralph Recto,Nacionalista,Majority,18,1,1,11,4,TRUE,TRUE,147
21,18SBN-1132,SBN-1132,18,an act requiring all public hospitals to prepare and implement a hospital site development plan for the optimum utilization of its resources in delivering health services,11/4/19,National,Pending in the Committee,"Recto, Ralph G.",11/5/19,FALSE,Ralph Recto,Nacionalista,Majority,18,1,1,11,4,TRUE,TRUE,170
22,18SBN-1131,SBN-1131,18,an act creating higher level teaching positions of public school teachers and providing funds therefor,11/4/19,National,Pending in the Committee,"Recto, Ralph G.",11/5/19,FALSE,Ralph Recto,Nacionalista,Majority,18,1,1,11,4,TRUE,TRUE,102
23,18SBN-1130,SBN-1130,18,"an act providing for full tuition subsidy to medical students enrolled in state universities and colleges (sucs) amending for the purpose republic act no. 10931, otherwise known as the ‘universal access to quality tertiary education act’, and appropriating funds therefor",11/4/19,National,Pending in the Committee,"Recto, Ralph G.",11/5/19,FALSE,Ralph Recto,Nacionalista,Majority,18,1,1,11,4,TRUE,TRUE,271
24,18SBN-1129,SBN-1129,18,an act providing for mandatory civil conscription for disaster and humanitarian service,11/4/19,National,Pending in the Committee,"Tolentino, Francis ""Tol"" N.",11/5/19,FALSE,Francis Tolentino,PDP_Laban,Majority,0,1,1,11,4,TRUE,TRUE,87
25,18SBN-1128,SBN-1128,18,"an act recognizing the indigenous cultural communities and indigenous peoples (iccs/ips) community conserved territories and areas (icca), establishing for the purpose the national icca registry, and appropriating funds therefor",11/4/19,National,Pending in the Committee,"Hontiveros, Risa",11/5/19,FALSE,Risa Hontiveros,Akbayan,Minority,3,1,1,11,4,TRUE,FALSE,228
26,18SBN-1127,SBN-1127,18,"an act establishing the coconut trust fund, providing for its management and utilization, reconstituting the philippine coconut authority, and for other purposes",10/29/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,7,10,4,TRUE,TRUE,161
27,18SBN-1126,SBN-1126,18,"an act expanding the philhealth outpatient coverage on dialysis and renal replacement therapy, and for other purposes",10/29/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,7,10,4,TRUE,TRUE,117
28,18SBN-1125,SBN-1125,18,"an act creating the national resiliency and disaster management authority, prescribing its powers and functions, appropriating funds therefor, and for other purposes",10/29/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,7,10,4,TRUE,TRUE,165
29,18SBN-1124,SBN-1124,18,"an act amending sections 443, 454, and 463 of republic act no. 7160 otherwise known as the ‘local government code of 1991",10/22/19,National,Pending in the Committee,"Binay, Maria Lourdes Nancy S.",11/5/19,FALSE,Nancy Binay,UNA,Majority,6,1,14,10,4,TRUE,TRUE,121
30,18SBN-1123,SBN-1123,18,an act providing for a five (5)-day special emergency leave for all workers in the public and private sector directly affected by natural calamities or disasters,10/22/19,National,Pending in the Committee,"De Lima, Leila M.",11/5/19,FALSE,Leila De Lima,Liberal,Minority,3,1,14,10,4,TRUE,FALSE,161
31,18SBN-1122,SBN-1122,18,"an act designating the third sunday of november every year as the national day of remembrance for road crash victims, survivors, and their families",10/22/19,National,"Approved on  Second Reading, with Amendments","Recto, Ralph G., Revilla Jr., Ramon Bong, Dela Rosa, Ronald ""Bato"", Poe, Grace",11/6/19,FALSE,Ralph Recto,Nacionalista,Majority,18,4,15,10,4,TRUE,TRUE,147
32,18SBN-1121,SBN-1121,18,"an act providing for the mandatory inclusion of anti-obesity education program and exercise including play and traditional games, in the pre-school, elementary and high school curricula, both in public and private schools and educational institutions and for other purposes",10/14/19,National,Pending in the Committee,"Revilla Jr., Ramon Bong",11/5/19,FALSE,Ramon Revilla Jr,Lakas,Majority,15,1,22,10,4,TRUE,TRUE,273
33,18SBN-1120,SBN-1120,18,an act mandating all public and private medical institutions and hospitals to provide for motorcycle medical emergency first-responders,10/14/19,National,Pending in the Committee,"Revilla Jr., Ramon Bong",11/5/19,FALSE,Ramon Revilla Jr,Lakas,Majority,15,1,22,10,4,TRUE,TRUE,135
34,18SBN-1119,SBN-1119,18,"an act regulating the operation and maintenance of internet cafés, video and computer game shops and other establishments, providing computer services within the vicinity of schools, public playgrounds, day care facilities and churches, and for other purposes",10/14/19,National,Pending in the Committee,"Revilla Jr., Ramon Bong",11/5/19,FALSE,Ramon Revilla Jr,Lakas,Majority,15,1,22,10,4,TRUE,TRUE,259
35,18SBN-1118,SBN-1118,18,"an act establishing a comprehensive and integrated national policy and program guidelines for the operation and maintenance of dormitories and boarding houses, providing penalties therefor, and for other purposes",10/14/19,National,Pending in the Committee,"Revilla Jr., Ramon Bong",11/5/19,FALSE,Ramon Revilla Jr,Lakas,Majority,15,1,22,10,4,TRUE,TRUE,212
36,18SBN-1117,SBN-1117,18,an act providing for the scholarship to children and dependents of farmers and for other purposes,10/14/19,National,Pending in the Committee,"Revilla Jr., Ramon Bong",11/5/19,FALSE,Ramon Revilla Jr,Lakas,Majority,15,1,22,10,4,TRUE,TRUE,97
37,18SBN-1116,SBN-1116,18,"an act granting civil service eligibility to government employees, under certain conditions, whose status of appointment is either casual or contractual, and who have continuously rendered a total of ten (10) years of eeficient service",10/14/19,National,Pending in the Committee,"Revilla Jr., Ramon Bong",11/5/19,FALSE,Ramon Revilla Jr,Lakas,Majority,15,1,22,10,4,TRUE,TRUE,235
38,18SBN-1115,SBN-1115,18,an act providing for the summary titling of real properties used as public school sites,10/14/19,National,Pending in the Committee,"Revilla Jr., Ramon Bong",11/5/19,FALSE,Ramon Revilla Jr,Lakas,Majority,15,1,22,10,4,TRUE,TRUE,87
40,18SBN-1113,SBN-1113,18,"an act amending republic act no. 8762, otherwise known as the retail trade liberalization act, and for other purposes",10/8/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,28,10,4,TRUE,TRUE,117
41,18SBN-1112,SBN-1112,18,"an act to establish the philippine coast guard academy allocating funds therefor, and for other purposes",10/8/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,28,10,4,TRUE,TRUE,104
42,18SBN-1111,SBN-1111,18,"an act extending the validity of the license to own and possess, permit to carry outside of residence or place of business and registration of firearms, amending for the purpose sections 4, 7, and 19 of republic act no. 10591, otherwise known as the ‘comprehensive firearms and ammunition regulation act’, and for other purposes",10/8/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,28,10,4,TRUE,TRUE,328
43,18SBN-1110,SBN-1110,18,"an act amending republic act no. 8178 or the ‘agricultural tarrification act of 1996,’ as amended",10/8/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,28,10,4,TRUE,TRUE,97
44,18SBN-1109,SBN-1109,18,"an act providing mandatory airtime from television and radio stations to enable the government to inform the public, safeguarding the people’s right to information, and for other purposes",10/7/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,29,10,4,TRUE,TRUE,187
45,18SBN-1108,SBN-1108,18,"an act increasing the bed capacity of the vicente sotto memorial medical center  of the province of cebu, from one thousand two hundred (1,200) to one thousand five hundred (1,500) beds and appropriating funds therefor",10/7/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,29,10,4,TRUE,TRUE,218
46,18SBN-1107,SBN-1107,18,"an act urging the planning, evaluation, and promotion of pineapples for international export, establishing the pineapple export development council, and providing funds therefor",10/7/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,29,10,4,TRUE,TRUE,177
47,18SBN-1106,SBN-1106,18,"an act strengthening the independence of the commission on elections, amending for the purpose pertinent provisions of batas pambansa 881, otherwise known as the ‘omnibus election code’, as amended, providing funds therefor, and for other purposes",10/7/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,29,10,4,TRUE,TRUE,247
48,18SBN-1105,SBN-1105,18,"an act extending the term of office of barangay officials and members of the sangguniang kabataan, amending republic act no. 7160 otherwise known as ‘the local government code of 1991’ and for other purposes",10/7/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,29,10,4,TRUE,TRUE,207
49,18SBN-1104,SBN-1104,18,an act providing for early voting for qualified senior citizens and persons with disabilities in all elections,10/7/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,29,10,4,TRUE,TRUE,110
50,18SBN-1103,SBN-1103,18,"an act increasing the bed capacity of the cagayan valley medical center (cvmc) in tuguegarao city, province of cagayan, from five hundred (500) to one thousand (1,000) beds and appropriating funds therefor",10/7/19,National,Pending in the Committee,"Marcos, Imee R.",11/5/19,FALSE,Imee MarcosI,Nacionalista,Majority,0,1,29,10,4,TRUE,TRUE,205
51,18SBN-1102,SBN-1102,18,"an act institutionalizing the filipino first policy in the government procurement system, amending for the purpose republic act no. 9184 otherwise known as the government procurement reform act and for other purposes",10/3/19,National,Pending in the Committee,"Tolentino, Francis ""Tol"" N.",11/5/19,FALSE,Francis Tolentino,PDP_Laban,Majority,0,1,33,10,4,TRUE,TRUE,216
52,18SBN-1101,SBN-1101,18,"an act upgrading the rank classification structure of the uniformed members of the bureau of fire protection (bfp) and the bureau of jail management and penology (bjmp) organization, amending for the purpose certain provisions of republic act no. 6975, as amended by republic act no. 8551, and republic act no. 9263 and for other purposes",10/2/19,National,Pending in the Committee,"Dela Rosa, Ronald ""Bato""",11/5/19,FALSE,Ronald Dela Rosa,PDP_Laban,Majority,0,1,34,10,4,TRUE,TRUE,338
53,18SBN-1100,SBN-1100,18,"an act transferring the control and supervision of the provincial and sub-provincial jails to the bureau of jail management and penology, amending for the purpose certain provisions of republic act no. 6975, otherwise known as the ‘department of the interior and local government act of 1990’ as amended, and for other purposes",10/2/19,National,Pending in the Committee,"Dela Rosa, Ronald ""Bato""",11/5/19,FALSE,Ronald Dela Rosa,PDP_Laban,Majority,0,1,34,10,4,TRUE,TRUE,327
54,18SBN-1099,SBN-1099,18,"an act strengthening the government's efforts towards the treatment and rehabilitation of drug dependents or people who use drugs (pwuds) by establishing drug abuse treatment and rehabilitation centers in every province and city in the country, appropriating funds therefor and for other purposes",10/2/19,National,Pending in the Committee,"Villar, Cynthia A.",11/5/19,FALSE,Cynthia Villar,Nacionalista,Majority,6,1,34,10,4,TRUE,TRUE,296
55,18SBN-1098,SBN-1098,18,an act regulating the ownership and operation of drones by private persons,10/2/19,National,Pending in the Committee,"Pimentel, Aquilino ""Koko"" III",10/2/19,FALSE,Koko Pimentel,PDP_Laban,Majority,9,1,0,10,4,TRUE,TRUE,74
56,18SBN-1097,SBN-1097,18,"an act recognizing the rights of natural ecosystems, populations, and processes and providing mechanisms for the protection and enforcement thereof",10/2/19,National,Pending in the Committee,"Hontiveros, Risa",10/2/19,FALSE,Risa Hontiveros,Akbayan,Minority,3,1,0,10,4,TRUE,FALSE,147
57,18SBN-1096,SBN-1096,18,"an act providing social security and non-monetary benefits to all barangay officials, workers and volunteers, appropriating funds therefor and for other purposes",10/2/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",10/2/19,FALSE,Lito Lapid,NPC,Majority,15,1,0,10,4,TRUE,TRUE,161
58,18SBN-1095,SBN-1095,18,"an act strengthening the regulation of health facilities and services, and appropriating funds therefor, repealing for the purpose republic act no. 4226, otherwise known as the ‘hospital licensure act’",10/2/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",10/2/19,FALSE,Lito Lapid,NPC,Majority,15,1,0,10,4,TRUE,TRUE,201
59,18SBN-1094,SBN-1094,18,an act requiring all heads of local government units to establish ‘ofw family help desks’ in their offices,10/2/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",10/2/19,FALSE,Lito Lapid,NPC,Majority,15,1,0,10,4,TRUE,TRUE,106
60,18SBN-1093,SBN-1093,18,"an act regulating the registration, licensure, and practice of physical therapy, providing funds therefor and for other related purposes",10/2/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",10/2/19,FALSE,Lito Lapid,NPC,Majority,15,1,0,10,4,TRUE,TRUE,136
61,18SBN-1092,SBN-1092,18,an act institutionalizing the grant of a teaching supplies allowance for public school teachers and appropriating funds therefor,10/1/19,National,"Pending Second Reading, Ordinary Business","Recto, Ralph G., Revilla Jr., Ramon Bong, Angara, Sonny, Gatchalian, Win, Cayetano, Pia S., Pacquiao, Emmanuel ""Manny"" D.",10/2/19,FALSE,Ralph Recto,Nacionalista,Majority,18,6,1,10,4,TRUE,TRUE,128
62,18SBN-1091,SBN-1091,18,"an act recognizing hazing as a heinous crime, amending for the purpose republic act no. 7659, as amended, otherwise known as death penalty law",10/1/19,National,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F.",10/2/19,FALSE,Juan Miguel Zubiri,PDP_Laban,Majority,12,1,1,10,4,TRUE,TRUE,142
63,18SBN-1090,SBN-1090,18,an act providing for the magna carta of the out-of-school youth,10/1/19,National,Pending in the Committee,"Angara, Sonny",10/2/19,FALSE,Eduardo Angara,LDP,Majority,15,1,1,10,4,TRUE,TRUE,63
64,18SBN-1089,SBN-1089,18,an act instituting policies for the protection and welfare of caregivers in the practice of their profession,10/1/19,National,Pending in the Committee,"Angara, Sonny",10/2/19,FALSE,Eduardo Angara,LDP,Majority,15,1,1,10,4,TRUE,TRUE,108
65,18SBN-1088,SBN-1088,18,"an act to further empower the members of the sangguniang kabataan (sk) by amending certain provisions in republic act no. 10742, otherwise known as the ‘sangguniang kabataan reform act of 2015’",10/1/19,National,Pending in the Committee,"Angara, Sonny",10/2/19,FALSE,Eduardo Angara,LDP,Majority,15,1,1,10,4,TRUE,TRUE,193
66,18SBN-1087,SBN-1087,18,an act institutionalizing the grant of a teaching supplies allowance for public school teachers and appropriating funds therefor,10/1/19,National,Pending in the Committee,"Gatchalian, Win",10/2/19,FALSE,Win Gatchalian,NPC,Majority,3,1,1,10,4,TRUE,TRUE,128
67,18SBN-1086,SBN-1086,18,an act creating and establishing the philippine high school for sports and providing funds therefor,10/1/19,National,"Pending Second Reading, Special Order","Angara, Sonny, Go, Christopher Lawrence T., Cayetano, Pia S., Gatchalian, Win, Zubiri, Juan Miguel ""Migz"" F.",10/1/19,FALSE,Eduardo Angara,LDP,Majority,15,5,0,10,4,TRUE,TRUE,99
68,18SBN-1085,SBN-1085,18,an act declaring february 10 of every year as the ‘national anti-hazing day’ in commemoration of all the victims of hazing in the philippines,10/1/19,National,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F.",10/1/19,FALSE,Juan Miguel Zubiri,PDP_Laban,Majority,12,1,0,10,4,TRUE,TRUE,141
69,18SBN-1084,SBN-1084,18,"an act establishing the tax regime of one person corporations, amending for this purpose section 22(b) of the national internal revenue code of 1997, as amended",10/1/19,National,Pending in the Committee,"Recto, Ralph G.",10/1/19,FALSE,Ralph Recto,Nacionalista,Majority,18,1,0,10,4,TRUE,TRUE,160
70,18SBN-1083,SBN-1083,18,"an act amending certain provisions of republic act no. 9372 , otherwise known as an act to secure the state and protect our people from terrorism",9/30/19,National,"Pending Second Reading, Special Order","Sotto III, Vicente C., Lacson, Panfilo ""Ping"" M., Marcos, Imee R., Lapid, Manuel ""Lito"" M., Revilla Jr., Ramon Bong",10/2/19,FALSE,Tito Sotto III,NPC,Majority,27,5,2,9,3,TRUE,TRUE,145
71,18SBN-1082,SBN-1082,18,"an act establishing the national coastal greenbelt action plan, providing funds therefor, and for other purpose",9/30/19,National,Pending in the Committee,"Binay, Maria Lourdes Nancy S.",10/1/19,FALSE,Nancy Binay,UNA,Majority,6,1,1,9,3,TRUE,TRUE,111
72,18SBN-1081,SBN-1081,18,"an act prescribing a just and humane code of conduct for the resettlement of underprivileged and homeless citizens, providing penalties for violation thereof, and appropriating funds therefor",9/30/19,National,Pending in the Committee,"Hontiveros, Risa",10/1/19,FALSE,Risa Hontiveros,Akbayan,Minority,3,1,1,9,3,TRUE,FALSE,191
73,18SBN-1080,SBN-1080,18,"an act institutionalizing public-private partnerships (ppp), creating the ppp center, appropriating funds therefor, and for other purposes",9/30/19,National,Pending in the Committee,"Recto, Ralph G.",10/1/19,FALSE,Ralph Recto,Nacionalista,Majority,18,1,1,9,3,TRUE,TRUE,138
74,18SBN-1079,SBN-1079,18,"an act further facilitating the acquisition of untitled lands for public use, amending for this purpose sections 5 and 6 of republic act no. 10752, entitled ‘an act facilitating the acquisition of right-of-way site or location for national government infrastructure projects",9/30/19,National,Pending in the Committee,"Recto, Ralph G.",10/1/19,FALSE,Ralph Recto,Nacionalista,Majority,18,1,1,9,3,TRUE,TRUE,274
75,18SBN-1078,SBN-1078,18,"an act accelerating the country’s total electrification of households, providing for a reliable and efficient solar energy system to public schools, allocating for the purpose the proceeds from the net national government share from the malampaya natural gas project and for other purposes",9/30/19,National,Pending in the Committee,"Recto, Ralph G.",10/1/19,FALSE,Ralph Recto,Nacionalista,Majority,18,1,1,9,3,TRUE,TRUE,289
76,18SBN-1077,SBN-1077,18,"an act creating a national transportation safety board, prescribing its powers and functions, and appropriating funds thereof",9/26/19,National,"Pending Second Reading, Special Order","Poe, Grace, Revilla Jr., Ramon Bong, Angara, Sonny",9/30/19,FALSE,Grace Poe,Independent,Majority,6,3,4,9,3,TRUE,TRUE,125
77,18SBN-1076,SBN-1076,18,an act establishing malasakit centers in all department of health (doh) hospitals in the country and providing funds therefor,9/26/19,National,"Approved on  Second Reading, with Amendments","Go, Christopher Lawrence T., Villar, Cynthia A., Pacquiao, Emmanuel ""Manny"" D., Gatchalian, Win, Angara, Sonny, Revilla Jr., Ramon Bong, Tolentino, Francis ""Tol"" N., Dela Rosa, Ronald ""Bato"", Marcos, Imee R., Villanueva, Joel, Zubiri, Juan Miguel ""Migz"" F.",11/6/19,FALSE,Christoper Lawrence Go,PDP_Laban,Majority,0,11,41,9,3,TRUE,TRUE,125
78,18SBN-1075,SBN-1075,18,"an act prohibiting black sand mining in the philippines, providing penalties therefor, and for other purposes",9/26/19,National,Pending in the Committee,"De Lima, Leila M.",9/30/19,FALSE,Leila De Lima,Liberal,Minority,3,1,4,9,3,TRUE,FALSE,109
79,18SBN-1074,SBN-1074,18,"an act increasing the excise tax on alcohol products, heated tobacco products and vapor products, amending for this purpose sections 141, 142, 143, 144, 147, 150, and 288, of republic act no. 8424, as amended, otherwise known as the national internal revenue code of 1997, as amended, and for other purposes",9/25/19,National,"Pending Second Reading, Special Order","Pacquiao, Emmanuel ""Manny"" D., Cayetano, Pia S.",9/25/19,FALSE,Manny Pacquiao,PDP_Laban,Majority,3,2,0,9,3,TRUE,TRUE,307
80,18SBN-1073,SBN-1073,18,an act to preserve the evidence generated from security cameras,9/25/19,National,Pending in the Committee,"De Lima, Leila M.",9/25/19,FALSE,Leila De Lima,Liberal,Minority,3,1,0,9,3,TRUE,FALSE,63
81,18SBN-1072,SBN-1072,18,"an act regulating the sale, lease, ownership and operation of drones, mandating the registration of drone dealers and drone owners/operators, and prescribing penalties for the violation thereof",9/24/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",9/25/19,FALSE,Lito Lapid,NPC,Majority,15,1,1,9,3,TRUE,TRUE,193
82,18SBN-1071,SBN-1071,18,"an act professionalizing paralegal practice in the philippines, creating for this purpose a professional regulatory board of paralegals, appropriating funds therefor and for other purposes",9/23/19,National,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F.",9/24/19,FALSE,Juan Miguel Zubiri,PDP_Laban,Majority,12,1,1,9,3,TRUE,TRUE,188
83,18SBN-1070,SBN-1070,18,an act establishing the rules and policies on the domestic administrative adoption proceeding of filipino and for other purposes,9/23/19,National,Pending in the Committee,"Poe, Grace",9/24/19,FALSE,Grace Poe,Independent,Majority,6,1,1,9,3,TRUE,TRUE,128
84,18SBN-1069,SBN-1069,18,"an act designating the 3rd week of november as ‘linggo ng pagalala at paghilom’ for road crash victims, survivors, and families",9/23/19,National,Consolidated/Substituted in the Committee Report,"Poe, Grace",11/5/19,FALSE,Grace Poe,Independent,Majority,6,1,43,9,3,TRUE,TRUE,127
85,18SBN-1068,SBN-1068,18,"an act developing the pili industry, creating for the purpose the pili subsidy fund and the pili research and development center, and declaring the province of sorsogon as the pili capital of the philippines",9/23/19,National,Pending in the Committee,"Poe, Grace",9/24/19,FALSE,Grace Poe,Independent,Majority,6,1,1,9,3,TRUE,TRUE,207
86,18SBN-1067,SBN-1067,18,"an act creating in the department of education the plantilla positions of guidance counselors in every elementary school and additional plantilla positions of guidance counselor for high school, increasing the salaries of guidance counselors and guidance-related positions, and appropriating funds therefor",9/23/19,National,Pending in the Committee,"Lapid, Manuel ""Lito"" M.",9/24/19,FALSE,Lito Lapid,NPC,Majority,15,1,1,9,3,TRUE,TRUE,306
